config,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,extraction_quality,processing_path,score,text_score,visual_score,threshold_uniform,valid_uniform,threshold_adaptive,valid_adaptive,expected_valid
C,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.571,0.4532,0.8456,0.7,0,0.7,0,0
A,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.8547,,0.8547,0.7,1,0.7,1,0
B,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.4763,0.4763,,0.7,0,0.7,0,0
C,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.5898,0.4763,0.8547,0.7,0,0.7,0,0
A,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.2106,,0.2106,0.7,0,0.7,0,0
B,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.4671,0.4671,,0.7,0,0.7,0,0
C,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.3902,0.4671,0.2106,0.7,0,0.7,0,0
A,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.1209,,0.1209,0.7,0,0.7,0,0
B,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.5,,,0.7,0,0.7,0,0
C,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.1209,,0.1209,0.7,0,0.7,0,0
A,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.0024,,0.0024,0.7,0,0.7,0,0
B,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.5,,,0.7,0,0.7,0,0
C,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.0024,,0.0024,0.7,0,0.7,0,0
A,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.1843,,0.1843,0.7,0,0.7,0,0
B,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.5,,,0.7,0,0.7,0,0
C,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.1843,,0.1843,0.7,0,0.7,0,0
A,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.0134,,0.0134,0.7,0,0.7,0,0
B,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.4861,0.4861,,0.7,0,0.7,0,0
C,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.1079,0.4861,0.0134,0.7,0,0.7,0,0
A,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.799,,0.799,0.7,1,0.7,1,0
B,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.4856,0.4856,,0.7,0,0.7,0,0
C,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.6423,0.4856,0.799,0.7,0,0.7,0,0
A,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.3274,,0.3274,0.7,0,0.7,0,0
B,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.4705,0.4705,,0.7,0,0.7,0,0
C,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.399,0.4705,0.3274,0.7,0,0.7,0,0
A,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.9007,,0.9007,0.7,1,0.7,1,0
B,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.5055,0.5055,,0.7,0,0.7,0,0
C,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.6241,0.5055,0.9007,0.7,0,0.7,0,0
A,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.9891,,0.9891,0.7,1,0.7,1,0
B,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.5272,0.5272,,0.7,0,0.7,0,0
C,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.6658,0.5272,0.9891,0.7,0,0.7,0,0
A,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.8665,,0.8665,0.7,1,0.7,1,0
B,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.4973,0.4973,,0.7,0,0.7,0,0
C,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.6081,0.4973,0.8665,0.7,0,0.7,0,0
A,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.4785,,0.4785,0.7,0,0.7,0,0
B,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.5166,0.5166,,0.7,0,0.7,0,0
C,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.5052,0.5166,0.4785,0.7,0,0.7,0,0
A,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.8135,,0.8135,0.7,1,0.7,1,1
B,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.5108,0.5108,,0.7,0,0.7,0,1
C,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.6016,0.5108,0.8135,0.7,0,0.7,0,1
A,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.9735,,0.9735,0.7,1,0.6,1,1
B,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.504,0.504,,0.7,0,0.6,0,1
C,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.6449,0.504,0.9735,0.7,0,0.6,1,1
A,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.9982,,0.9982,0.7,1,0.7,1,1
B,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.529,0.529,,0.7,0,0.7,0,1
C,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.6698,0.529,0.9982,0.7,0,0.7,0,1
A,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8432,ocr,0.7044,,0.7044,0.7,1,0.7,1,0
B,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8432,ocr,0.5251,0.5251,,0.7,0,0.7,0,0
C,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8432,ocr,0.5789,0.5251,0.7044,0.7,0,0.7,0,0
A,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.9318,,0.9318,0.7,1,0.7,1,0
B,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.5241,0.5241,,0.7,0,0.7,0,0
C,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.728,0.5241,0.9318,0.7,1,0.7,1,0
A,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.9735,,0.9735,0.7,1,0.7,1,0
B,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.4939,0.4939,,0.7,0,0.7,0,0
C,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.8776,0.4939,0.9735,0.7,1,0.7,1,0
A,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.7777,,0.7777,0.7,1,0.7,1,0
B,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.5237,0.5237,,0.7,0,0.7,0,0
C,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.6507,0.5237,0.7777,0.7,0,0.7,0,0
A,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.9964,,0.9964,0.7,1,0.7,1,1
B,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.5162,0.5162,,0.7,0,0.7,0,1
C,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.7563,0.5162,0.9964,0.7,1,0.7,1,1
