config,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,extraction_quality,processing_path,score,text_score,visual_score,threshold_uniform,valid_uniform,threshold_adaptive,valid_adaptive,expected_valid
C,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.2996,,0.2996,0.5,0,0.5,0,0
A,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.0362,,0.0362,0.5,0,0.5,0,0
B,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.5,,,0.5,1,0.5,1,0
C,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.0362,,0.0362,0.5,0,0.5,0,0
A,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.3669,,0.3669,0.5,0,0.5,0,0
B,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.5,,,0.5,1,0.5,1,0
C,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,0.0,image_direct,0.3669,,0.3669,0.5,0,0.5,0,0
A,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.1626,,0.1626,0.5,0,0.5,0,0
B,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.3946,0.3946,,0.5,0,0.5,0,0
C,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,0.268,image_direct,0.209,0.3946,0.1626,0.5,0,0.5,0,0
A,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.5607,,0.5607,0.5,1,0.5,1,0
B,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.3774,0.3774,,0.5,0,0.5,0,0
C,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,0.33,image_direct,0.469,0.3774,0.5607,0.5,0,0.5,0,0
A,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.1232,,0.1232,0.5,0,0.5,0,0
B,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.273,0.273,,0.5,0,0.5,0,0
C,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,0.586,image_direct,0.1981,0.273,0.1232,0.5,0,0.5,0,0
A,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.8686,,0.8686,0.5,1,0.5,1,0
B,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.5321,0.5321,,0.5,1,0.5,1,0
C,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,0.9204,pdf_native,0.6331,0.5321,0.8686,0.5,1,0.5,1,0
A,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.9907,,0.9907,0.5,1,0.5,1,0
B,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.6919,0.6919,,0.5,1,0.5,1,0
C,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,0.8257,pdf_native,0.7816,0.6919,0.9907,0.5,1,0.5,1,0
A,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.9981,,0.9981,0.5,1,0.5,1,0
B,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.5236,0.5236,,0.5,1,0.5,1,0
C,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,0.8308,pdf_native,0.6659,0.5236,0.9981,0.5,1,0.5,1,0
A,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.3479,,0.3479,0.5,0,0.5,0,0
B,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.6645,0.6645,,0.5,1,0.5,1,0
C,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,0.897,pdf_native,0.5695,0.6645,0.3479,0.5,1,0.5,1,0
A,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.9517,,0.9517,0.5,1,0.5,1,1
B,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.6543,0.6543,,0.5,1,0.5,1,1
C,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,0.8751,image_direct,0.7435,0.6543,0.9517,0.5,1,0.5,1,1
A,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.7485,,0.7485,0.5,1,0.4,1,1
B,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.5899,0.5899,,0.5,1,0.4,1,1
C,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,0.869,image_direct,0.6375,0.5899,0.7485,0.5,1,0.4,1,1
A,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.9915,,0.9915,0.5,1,0.5,1,1
B,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.7126,0.7126,,0.5,1,0.5,1,1
C,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,0.9698,image_direct,0.7963,0.7126,0.9915,0.5,1,0.5,1,1
A,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8438,ocr,0.8356,,0.8356,0.5,1,0.5,1,0
B,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8438,ocr,0.7375,0.7375,,0.5,1,0.5,1,0
C,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,0.8438,ocr,0.7669,0.7375,0.8356,0.5,1,0.5,1,0
A,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.9902,,0.9902,0.5,1,0.5,1,0
B,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.7074,0.7074,,0.5,1,0.5,1,0
C,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,0.322,image_direct,0.8488,0.7074,0.9902,0.5,1,0.5,1,0
A,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.9324,,0.9324,0.5,1,0.5,1,0
B,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.469,0.469,,0.5,0,0.5,0,0
C,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,0.122,image_direct,0.8397,0.469,0.9324,0.5,1,0.5,1,0
A,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.9871,,0.9871,0.5,1,0.5,1,0
B,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.6866,0.6866,,0.5,1,0.5,1,0
C,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,0.628,image_direct,0.8369,0.6866,0.9871,0.5,1,0.5,1,0
A,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.9858,,0.9858,0.5,1,0.5,1,1
B,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.6389,0.6389,,0.5,1,0.5,1,1
C,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,0.328,image_direct,0.8124,0.6389,0.9858,0.5,1,0.5,1,1
A,clinical/cfm_atestado_v1.pdf,clinical,valid,atestado,digital,endocrinologia,template-fill,0.8443,ocr,0.5096,,0.5096,0.5,1,0.5,1,1
B,clinical/cfm_atestado_v1.pdf,clinical,valid,atestado,digital,endocrinologia,template-fill,0.8443,ocr,0.7021,0.7021,,0.5,1,0.5,1,1
C,clinical/cfm_atestado_v1.pdf,clinical,valid,atestado,digital,endocrinologia,template-fill,0.8443,ocr,0.6444,0.7021,0.5096,0.5,1,0.5,1,1
A,clinical/cfm_atestado_v2.pdf,clinical,valid,atestado,digital,dermatologia,template-fill,0.8429,ocr,0.6413,,0.6413,0.5,1,0.55,1,1
B,clinical/cfm_atestado_v2.pdf,clinical,valid,atestado,digital,dermatologia,template-fill,0.8429,ocr,0.6728,0.6728,,0.5,1,0.55,1,1
C,clinical/cfm_atestado_v2.pdf,clinical,valid,atestado,digital,dermatologia,template-fill,0.8429,ocr,0.6633,0.6728,0.6413,0.5,1,0.55,1,1
A,clinical/cfm_atestado_v3.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8442,ocr,0.5847,,0.5847,0.5,1,0.5,1,1
B,clinical/cfm_atestado_v3.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8442,ocr,0.6541,0.6541,,0.5,1,0.5,1,1
C,clinical/cfm_atestado_v3.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8442,ocr,0.6333,0.6541,0.5847,0.5,1,0.5,1,1
A,clinical/cfm_receituario_v1.pdf,clinical,valid,prescricao,digital,neurologia,template-fill,0.74,ocr,0.7452,,0.7452,0.5,1,0.45,1,1
B,clinical/cfm_receituario_v1.pdf,clinical,valid,prescricao,digital,neurologia,template-fill,0.74,ocr,0.7027,0.7027,,0.5,1,0.45,1,1
C,clinical/cfm_receituario_v1.pdf,clinical,valid,prescricao,digital,neurologia,template-fill,0.74,ocr,0.7155,0.7027,0.7452,0.5,1,0.45,1,1
A,clinical/cfm_receituario_v2.pdf,clinical,valid,prescricao,digital,dermatologia,template-fill,0.7,ocr,0.8052,,0.8052,0.5,1,0.55,1,1
B,clinical/cfm_receituario_v2.pdf,clinical,valid,prescricao,digital,dermatologia,template-fill,0.7,ocr,0.6875,0.6875,,0.5,1,0.55,1,1
C,clinical/cfm_receituario_v2.pdf,clinical,valid,prescricao,digital,dermatologia,template-fill,0.7,ocr,0.7463,0.6875,0.8052,0.5,1,0.55,1,1
A,clinical/cfm_receituario_v3.pdf,clinical,valid,prescricao,digital,pediatria,template-fill,0.79,ocr,0.7855,,0.7855,0.5,1,0.42,1,1
B,clinical/cfm_receituario_v3.pdf,clinical,valid,prescricao,digital,pediatria,template-fill,0.79,ocr,0.7508,0.7508,,0.5,1,0.42,1,1
C,clinical/cfm_receituario_v3.pdf,clinical,valid,prescricao,digital,pediatria,template-fill,0.79,ocr,0.7612,0.7508,0.7855,0.5,1,0.42,1,1
A,clinical/lme_federal_v1.pdf,clinical,valid,lme,digital,medicina_trabalho,template-fill,0.8822,ocr,0.9986,,0.9986,0.5,1,0.5,1,1
B,clinical/lme_federal_v1.pdf,clinical,valid,lme,digital,medicina_trabalho,template-fill,0.8822,ocr,0.8254,0.8254,,0.5,1,0.5,1,1
C,clinical/lme_federal_v1.pdf,clinical,valid,lme,digital,medicina_trabalho,template-fill,0.8822,ocr,0.8774,0.8254,0.9986,0.5,1,0.5,1,1
A,clinical/lme_federal_v2.pdf,clinical,valid,lme,digital,pediatria,template-fill,0.8832,ocr,0.9989,,0.9989,0.5,1,0.42,1,1
B,clinical/lme_federal_v2.pdf,clinical,valid,lme,digital,pediatria,template-fill,0.8832,ocr,0.8266,0.8266,,0.5,1,0.42,1,1
C,clinical/lme_federal_v2.pdf,clinical,valid,lme,digital,pediatria,template-fill,0.8832,ocr,0.8783,0.8266,0.9989,0.5,1,0.42,1,1
A,clinical/lme_federal_v3.pdf,clinical,valid,lme,digital,neurologia,template-fill,0.8822,ocr,0.9991,,0.9991,0.5,1,0.45,1,1
B,clinical/lme_federal_v3.pdf,clinical,valid,lme,digital,neurologia,template-fill,0.8822,ocr,0.8178,0.8178,,0.5,1,0.45,1,1
C,clinical/lme_federal_v3.pdf,clinical,valid,lme,digital,neurologia,template-fill,0.8822,ocr,0.8722,0.8178,0.9991,0.5,1,0.45,1,1
A,clinical/encaminhamento_se_v1.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8721,ocr,0.8685,,0.8685,0.5,1,0.5,1,1
B,clinical/encaminhamento_se_v1.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8721,ocr,0.5801,0.5801,,0.5,1,0.5,1,1
C,clinical/encaminhamento_se_v1.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8721,ocr,0.6666,0.5801,0.8685,0.5,1,0.5,1,1
A,clinical/encaminhamento_se_v2.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8617,ocr,0.8766,,0.8766,0.5,1,0.5,1,1
B,clinical/encaminhamento_se_v2.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8617,ocr,0.5567,0.5567,,0.5,1,0.5,1,1
C,clinical/encaminhamento_se_v2.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,0.8617,ocr,0.6526,0.5567,0.8766,0.5,1,0.5,1,1
A,clinical/encaminhamento_se_v3.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8661,ocr,0.8884,,0.8884,0.5,1,0.4,1,1
B,clinical/encaminhamento_se_v3.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8661,ocr,0.5943,0.5943,,0.5,1,0.4,1,1
C,clinical/encaminhamento_se_v3.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8661,ocr,0.6826,0.5943,0.8884,0.5,1,0.4,1,1
A,clinical/goiania_laudo_pericial_v1.pdf,clinical,valid,laudo_pericial,digital,cardiologia,template-fill,0.8113,ocr,0.7071,,0.7071,0.5,1,0.4,1,1
B,clinical/goiania_laudo_pericial_v1.pdf,clinical,valid,laudo_pericial,digital,cardiologia,template-fill,0.8113,ocr,0.5379,0.5379,,0.5,1,0.4,1,1
C,clinical/goiania_laudo_pericial_v1.pdf,clinical,valid,laudo_pericial,digital,cardiologia,template-fill,0.8113,ocr,0.5887,0.5379,0.7071,0.5,1,0.4,1,1
A,clinical/goiania_laudo_pericial_v2.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8125,ocr,0.7333,,0.7333,0.5,1,0.5,1,1
B,clinical/goiania_laudo_pericial_v2.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8125,ocr,0.5359,0.5359,,0.5,1,0.5,1,1
C,clinical/goiania_laudo_pericial_v2.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8125,ocr,0.5951,0.5359,0.7333,0.5,1,0.5,1,1
A,clinical/goiania_laudo_pericial_v3.pdf,clinical,valid,laudo_pericial,digital,endocrinologia,template-fill,0.8182,ocr,0.7268,,0.7268,0.5,1,0.5,1,1
B,clinical/goiania_laudo_pericial_v3.pdf,clinical,valid,laudo_pericial,digital,endocrinologia,template-fill,0.8182,ocr,0.5636,0.5636,,0.5,1,0.5,1,1
C,clinical/goiania_laudo_pericial_v3.pdf,clinical,valid,laudo_pericial,digital,endocrinologia,template-fill,0.8182,ocr,0.6126,0.5636,0.7268,0.5,1,0.5,1,1
