file_id,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,source,license,notes
c14c4de5ee4386d3,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,synthetic_degradation_of_lme_PREENCHIDO,uso livre,"LME preenchido renderizado com ruido sintetico (rotacao, blur, JPEG q=55, sal-pimenta)"
e68e6a529ad5e4f6,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,synthetic_degradation_of_encaminhamento_PREENCHIDO,uso livre,encaminhamento preenchido com ruido sintetico
3533e8e3b38631ec,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,synthetic_degradation_of_hematosul,uso livre,hemograma com ruido sintetico para simular scan ruim
2a73ddb1f03aee4d,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,synthetic_watermark_overlay,uso livre,atestado preenchido com marca dagua AMOSTRA - testa criterio N6
78ea2a152af44a0c,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,synthetic_PIL_generation,uso livre,embalagem de medicamento isolada - falha C1 e C2 (sem paciente)
9b604ebb30eeb895,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,synthetic_matplotlib_generation,uso livre,curva de febre desenhada manualmente pelo paciente - falha C3 (sem emissor)
8233832234766a24,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,synthetic_PIL_generation,uso livre,print de tela do Meu SUS Digital - conteudo clinico em formato inadequado (N2)
6f0a22cd20a756d8,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,synthetic_PIL_generation,uso livre,receita manuscrita sintetica com fonte cursiva - testa OCR vs CLIP visual
5e971786915c02b9,clinical/cfm_atestado_v1.pdf,clinical,valid,atestado,digital,endocrinologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
bc357365e0fe0491,clinical/cfm_atestado_v2.pdf,clinical,valid,atestado,digital,dermatologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
9b54e3cd65cb3ae8,clinical/cfm_atestado_v3.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
4cf087852ffbf51e,clinical/cfm_receituario_v1.pdf,clinical,valid,prescricao,digital,neurologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
70c59463f72edef1,clinical/cfm_receituario_v2.pdf,clinical,valid,prescricao,digital,dermatologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
2a3b6f2f3088ba94,clinical/cfm_receituario_v3.pdf,clinical,valid,prescricao,digital,pediatria,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
75bad95da3b4f412,clinical/lme_federal_v1.pdf,clinical,valid,lme,digital,medicina_trabalho,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
db765846d10f9631,clinical/lme_federal_v2.pdf,clinical,valid,lme,digital,pediatria,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
8f33779974d7b300,clinical/lme_federal_v3.pdf,clinical,valid,lme,digital,neurologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
6b9a036e2088e869,clinical/encaminhamento_se_v1.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
959f53b8171491bd,clinical/encaminhamento_se_v2.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
9079dba282041c1f,clinical/encaminhamento_se_v3.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
55d0b0f09e930299,clinical/goiania_laudo_pericial_v1.pdf,clinical,valid,laudo_pericial,digital,cardiologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
1c907ab07eba2f24,clinical/goiania_laudo_pericial_v2.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
28d54129e60d0c8a,clinical/goiania_laudo_pericial_v3.pdf,clinical,valid,laudo_pericial,digital,endocrinologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
